"","EG_node1","EG_node2","Source"
"549","7920","113878","ppi"
"550","11319","55011","ppi"
"551","6449","30008","ppi"
"552","8915","8915","ppi"
"553","1147","8915","ppi"
"554","216","216","ppi"
"555","2353","1649","ppi"
"556","2353","3726","ppi"
"557","2353","468","ppi"
"558","2353","6772","ppi"
"559","2353","9612","ppi"
"560","2353","2353","ppi"
"561","2353","7407","ppi"
"562","2353","84916","ppi"
"563","2353","54874","ppi"
"564","2353","4088","ppi"
"565","3265","11186","ppi"
"566","3265","369","ppi"
"567","3265","5894","ppi"
"568","3265","83593","ppi"
"569","3265","23179","ppi"
"570","3265","5863","ppi"
"571","3265","5290","ppi"
"572","3265","4301","ppi"
"573","3265","673","ppi"
"574","3845","6235","ppi"
"575","3845","29079","ppi"
"576","10174","3845","ppi"
"577","3949","3949","ppi"
"578","7039","6868","ppi"
"579","7039","6640","ppi"
"580","3458","3458","ppi"
"581","5894","3320","ppi"
"582","5894","7531","ppi"
"583","5894","5515","ppi"
"584","5894","5894","ppi"
"585","3845","5894","ppi"
"586","9521","5894","ppi"
"587","5894","51","ppi"
"588","5894","10048","ppi"
"589","4914","4914","ppi"
"590","4914","5335","ppi"
"591","4914","2885","ppi"
"592","4914","23327","ppi"
"593","4914","7189","ppi"
"594","4914","3320","ppi"
"595","2771","2773","ppi"
"596","292","4792","ppi"
"597","9636","3320","ppi"
"598","9636","5052","ppi"
"599","9636","6772","ppi"
"600","9636","6897","ppi"
"601","6181","6230","ppi"
"602","6181","6201","ppi"
"603","6181","6189","ppi"
"604","6181","6228","ppi"
"605","6181","6217","ppi"
"606","6181","6187","ppi"
"607","6181","3921","ppi"
"608","6181","6224","ppi"
"609","6181","6168","ppi"
"610","6181","6175","ppi"
"611","6175","6189","ppi"
"612","6175","3921","ppi"
"613","6175","6228","ppi"
"614","6175","6187","ppi"
"615","6175","6217","ppi"
"616","6175","6230","ppi"
"617","6175","6204","ppi"
"618","6175","6224","ppi"
"619","6175","6152","ppi"
"620","6175","6158","ppi"
"621","6175","6168","ppi"
"622","1147","5579","ppi"
"623","5579","2931","ppi"
"624","5579","156","ppi"
"625","5579","5579","ppi"
"626","2534","2534","ppi"
"627","2534","2185","ppi"
"628","2534","602","ppi"
"629","2534","356","ppi"
"630","2534","5295","ppi"
"631","2534","8503","ppi"
"632","2534","1445","ppi"
"633","2534","10278","ppi"
"634","2534","868","ppi"
"635","2534","6452","ppi"
"636","2534","2904","ppi"
"637","590","590","ppi"
"638","5757","9817","ppi"
"639","7170","9641","ppi"
"640","3437","7170","ppi"
"641","7170","79036","ppi"
"642","7170","7170","ppi"
"643","7170","29844","ppi"
"644","2242","2242","ppi"
"645","2242","613","ppi"
"646","2242","3320","ppi"
"647","3320","3320","ppi"
"648","3320","55664","ppi"
"649","3320","91662","ppi"
"650","3320","6794","ppi"
"651","3320","10454","ppi"
"652","3320","23118","ppi"
"653","3320","9020","ppi"
"654","1147","3320","ppi"
"655","3320","9641","ppi"
"656","6885","3320","ppi"
"657","3320","26973","ppi"
"658","3320","5536","ppi"
"659","3320","7268","ppi"
"660","3320","10294","ppi"
"661","3320","8899","ppi"
"662","3320","23411","ppi"
"663","3320","7265","ppi"
"664","3320","7407","ppi"
"665","3320","7182","ppi"
"666","3320","6714","ppi"
"667","2534","3320","ppi"
"668","3320","5048","ppi"
"669","3320","613","ppi"
"670","3320","5467","ppi"
"671","3320","6129","ppi"
"672","3320","6125","ppi"
"673","7170","3320","ppi"
"674","3320","8139","ppi"
"675","3320","5129","ppi"
"676","7525","5747","ppi"
"677","2534","7525","ppi"
"678","5979","5335","ppi"
"679","5979","5594","ppi"
"680","5979","5595","ppi"
"681","5979","5979","ppi"
"682","5979","23624","ppi"
"683","7169","9260","ppi"
"684","7169","7169","ppi"
"685","7057","1289","ppi"
"686","440","3376","ppi"
"687","4313","7077","ppi"
"688","4313","23621","ppi"
"689","4313","80781","ppi"
"690","6218","3921","ppi"
"691","6218","6228","ppi"
"692","6218","6187","ppi"
"693","6218","6203","ppi"
"694","6218","6189","ppi"
"695","6218","6230","ppi"
"696","6218","6235","ppi"
"697","3921","6227","ppi"
"698","11222","51073","ppi"
"699","11222","54148","ppi"
"700","11222","28977","ppi"
"701","2247","2260","ppi"
"702","2247","9672","ppi"
"703","6728","6729","ppi"
"704","1212","163","ppi"
"705","2580","1212","ppi"
"706","1212","6396","ppi"
"707","1212","2060","ppi"
"708","1212","8650","ppi"
"709","160","1212","ppi"
"710","1212","55589","ppi"
"711","1212","27327","ppi"
"712","3437","3434","ppi"
"713","29844","29844","ppi"
"714","27095","6399","ppi"
"715","2737","8945","ppi"
"716","4602","54461","ppi"
"717","369","7532","ppi"
"718","369","7534","ppi"
"719","369","7531","ppi"
"720","3845","369","ppi"
"721","5573","5567","ppi"
"722","5573","11216","ppi"
"723","5573","5575","ppi"
"724","7068","9612","ppi"
"725","7068","9318","ppi"
"726","7068","7068","ppi"
"727","6907","7068","ppi"
"728","9722","5898","ppi"
"729","5898","55165","ppi"
"730","9525","5898","ppi"
"731","613","4301","ppi"
"732","613","2071","ppi"
"733","6175","2078","ppi"
"734","2260","5335","ppi"
"735","2260","5295","ppi"
"736","2260","2260","ppi"
"737","8266","10075","ppi"
"738","6449","8266","ppi"
"739","8266","439","ppi"
"740","8266","23197","ppi"
"741","128","128","ppi"
"742","293","120892","ppi"
"743","6497","4089","ppi"
"744","6497","4088","ppi"
"745","6497","6497","ppi"
"746","87","7791","ppi"
"747","87","87","ppi"
"748","87","1495","ppi"
"749","6714","2185","ppi"
"750","6714","9564","ppi"
"751","6714","11099","ppi"
"752","1147","6714","ppi"
"753","6714","5747","ppi"
"754","6714","6714","ppi"
"755","2534","6714","ppi"
"756","8853","6714","ppi"
"757","6714","10278","ppi"
"758","6714","8503","ppi"
"759","6714","2885","ppi"
"760","6714","6777","ppi"
"761","6714","1796","ppi"
"762","6714","4792","ppi"
"763","6714","10188","ppi"
"764","3574","3575","ppi"
"765","6347","6347","ppi"
"766","7178","4170","ppi"
"767","4282","4282","ppi"
"768","5987","51619","ppi"
"769","5987","8697","ppi"
"770","5987","22954","ppi"
"771","5987","5987","ppi"
"772","5987","9099","ppi"
"773","6628","5684","ppi"
"774","26039","6628","ppi"
"775","3554","7189","ppi"
"776","673","7534","ppi"
"777","673","10971","ppi"
"778","673","7532","ppi"
"779","673","4214","ppi"
"780","673","673","ppi"
"781","673","5604","ppi"
"782","673","7531","ppi"
"783","369","673","ppi"
"784","5894","673","ppi"
"785","673","5594","ppi"
"786","673","6199","ppi"
"787","2752","2752","ppi"
"788","2935","5976","ppi"
"789","3096","4088","ppi"
"790","3096","6310","ppi"
"791","6187","6201","ppi"
"792","6187","6189","ppi"
"793","3921","6187","ppi"
"794","6187","6203","ppi"
"795","6187","6222","ppi"
"796","6925","6925","ppi"
"797","6925","862","ppi"
"798","6925","6938","ppi"
"799","863","6925","ppi"
"800","6925","3397","ppi"
"801","6925","3399","ppi"
"802","6925","4760","ppi"
"803","6925","51588","ppi"
"804","873","23197","ppi"
"805","873","51322","ppi"
"806","873","9546","ppi"
"807","873","10952","ppi"
"808","2241","2241","ppi"
"809","2241","8503","ppi"
"810","2241","5295","ppi"
"811","3575","3716","ppi"
"812","7169","3925","ppi"
"813","3925","51132","ppi"
"814","3454","23291","ppi"
"815","3454","8945","ppi"
"816","3726","3726","ppi"
"817","5573","5566","ppi"
"818","5566","5575","ppi"
"819","5566","2932","ppi"
"820","5566","5567","ppi"
"821","5566","120892","ppi"
"822","5566","5144","ppi"
"823","5566","572","ppi"
"824","824","826","ppi"
"825","5211","5213","ppi"
"826","5702","5706","ppi"
"827","5702","5702","ppi"
"828","5702","5719","ppi"
"829","5702","5704","ppi"
"830","5702","5693","ppi"
"831","5702","5708","ppi"
"832","5717","5702","ppi"
"833","5709","5702","ppi"
"834","5702","5686","ppi"
"835","5702","5687","ppi"
"836","5702","5691","ppi"
"837","5702","5692","ppi"
"838","5702","5690","ppi"
"839","6950","7203","ppi"
"840","6950","10574","ppi"
"841","2068","4331","ppi"
"842","2068","64210","ppi"
"843","6129","6189","ppi"
"844","3921","6129","ppi"
"845","6175","6129","ppi"
"846","6129","6133","ppi"
"847","6129","6217","ppi"
"848","6129","6228","ppi"
"849","6187","6129","ppi"
"850","6129","6201","ppi"
"851","6129","6224","ppi"
"852","6129","6206","ppi"
"853","6129","6230","ppi"
"854","6714","5786","ppi"
"855","5786","2885","ppi"
"856","5786","5786","ppi"
"857","5223","7534","ppi"
"858","467","1649","ppi"
"859","3726","467","ppi"
"860","467","468","ppi"
"861","467","467","ppi"
"862","467","55198","ppi"
"863","467","4088","ppi"
"864","468","10538","ppi"
"865","4094","468","ppi"
"866","468","4779","ppi"
"867","468","57761","ppi"
"868","468","468","ppi"
"869","1613","468","ppi"
"870","468","2874","ppi"
"871","22926","22926","ppi"
"872","5335","6452","ppi"
"873","5335","6655","ppi"
"874","5335","5781","ppi"
"875","5335","238","ppi"
"876","7132","7132","ppi"
"877","7132","841","ppi"
"878","7132","2885","ppi"
"879","7132","3716","ppi"
"880","3717","7132","ppi"
"881","7132","7128","ppi"
"882","6714","7132","ppi"
"883","6885","7132","ppi"
"884","2068","2071","ppi"
"885","6737","6737","ppi"
"886","6737","7321","ppi"
"887","6737","7322","ppi"
"888","8575","5610","ppi"
"889","5610","5610","ppi"
"890","3320","5610","ppi"
"891","5610","7189","ppi"
"892","310","85365","ppi"
"893","6908","6883","ppi"
"894","6908","57456","ppi"
"895","6908","1859","ppi"
"896","6908","6879","ppi"
"897","6908","2961","ppi"
"898","6908","6908","ppi"
"899","6908","6047","ppi"
"900","6908","7629","ppi"
"901","2353","6908","ppi"
"902","7133","7133","ppi"
"903","5868","4952","ppi"
"904","5868","148423","ppi"
"905","5868","6883","ppi"
"906","5868","5878","ppi"
"907","5868","1278","ppi"
"908","5868","8569","ppi"
"909","5868","125988","ppi"
"910","5868","955","ppi"
"911","3096","5868","ppi"
"912","5868","51776","ppi"
"913","5868","5289","ppi"
"914","5868","8766","ppi"
"915","5870","1639","ppi"
"916","4074","23163","ppi"
"917","602","1487","ppi"
"918","3614","3615","ppi"
"919","11143","984","ppi"
"920","984","896","ppi"
"921","3320","984","ppi"
"922","984","984","ppi"
"923","7128","7189","ppi"
"924","7128","10318","ppi"
"925","7128","7128","ppi"
"926","7128","7805","ppi"
"927","7128","7532","ppi"
"928","7128","55072","ppi"
"929","7128","55905","ppi"
"930","4254","4254","ppi"
"931","2771","728","ppi"
"932","3738","581","ppi"
"933","3738","3741","ppi"
"934","7317","89958","ppi"
"935","7317","997","ppi"
"936","7317","7321","ppi"
"937","7317","7332","ppi"
"938","7317","7324","ppi"
"939","7317","10477","ppi"
"940","7317","7325","ppi"
"941","11065","7317","ppi"
"942","7317","7327","ppi"
"943","4831","4832","ppi"
"944","4831","4831","ppi"
"945","3739","6640","ppi"
"946","6714","3741","ppi"
"948","5567","1859","ppi"
"949","3320","5567","ppi"
"950","5567","9465","ppi"
"951","5567","55755","ppi"
"952","5567","5575","ppi"
"953","2235","2235","ppi"
"954","6917","54623","ppi"
"955","6908","6917","ppi"
"956","2653","9111","ppi"
"957","6198","5520","ppi"
"958","8665","6198","ppi"
"959","3716","2885","ppi"
"960","9021","3716","ppi"
"961","3716","6778","ppi"
"962","3716","3716","ppi"
"963","3716","6772","ppi"
"964","191","191","ppi"
"965","191","91369","ppi"
"966","1975","1981","ppi"
"967","6714","1606","ppi"
"968","2624","4089","ppi"
"969","1121","5875","ppi"
"970","1121","10981","ppi"
"971","1121","5861","ppi"
"972","5868","1121","ppi"
"973","10945","10945","ppi"
"974","898","3009","ppi"
"975","156","28964","ppi"
"976","156","408","ppi"
"977","2771","2149","ppi"
"978","2149","10015","ppi"
"979","6206","6217","ppi"
"980","6206","6228","ppi"
"981","6187","6206","ppi"
"982","6206","6234","ppi"
"983","6206","6189","ppi"
"984","6206","6229","ppi"
"985","3921","6206","ppi"
"986","10474","6046","ppi"
"987","6046","1460","ppi"
"988","6046","8407","ppi"
"989","5684","5684","ppi"
"990","5684","5719","ppi"
"991","5684","23288","ppi"
"992","5684","5692","ppi"
"993","5702","5684","ppi"
"994","5684","5704","ppi"
"995","5684","5686","ppi"
"996","5684","5690","ppi"
"997","5684","5691","ppi"
"998","5684","5708","ppi"
"999","5709","5684","ppi"
"1000","5717","5684","ppi"
"1001","4792","150684","ppi"
"1002","4792","4792","ppi"
"1003","4792","5971","ppi"
"1004","4792","23080","ppi"
