from	to
4609	2194
4609	891
4609	89874
4609	4953
4609	6723
4609	6725
4609	943
4609	1655
4609	7425
4609	3162
4609	593
4609	875
4609	7015
4609	3291
4609	790
4609	124872
4609	142
4609	4830
4609	1736
4609	6233
4609	6617
4609	1048
1387	6774
1387	596
1387	3091
1387	51176
1387	6934
1387	83439
1387	5054
1387	2034
1387	2100
1387	2313
1387	4602
1387	5915
1387	6776
1387	6932
1387	1906
1387	1030
1387	7018
1387	7037
2033	6774
2033	596
2033	3091
2033	51176
2033	6934
2033	83439
2033	5054
2033	2034
2033	5915
2033	6776
2033	6932
2033	1906
2033	1030
2033	7018
2033	7037
6774	596
6774	3091
6774	7297
6774	1277
6774	367
6774	466
6774	1051
6774	2100
6774	8554
6774	9063
6774	5914
6774	30837
6774	9306
6774	9655
6774	5771
6774	595
6774	2670
6774	5292
6774	1447
6774	5443
6774	958
6774	1026
6774	1588
6774	4582
6774	4585
6774	8996
6774	3569
6774	11336
6774	7432
6774	2194
6774	1465
6774	2322
6774	7076
6774	943
6774	3162
6774	26229
6774	332
6774	3559
6774	7078
6774	3718
6774	2
6774	5551
6774	754
329	51176
329	6934
329	83439
329	2113
329	4790
596	405
596	3091
596	6667
596	367
596	466
596	1958
596	2113
596	4602
596	4790
596	5914
596	5915
596	5916
596	6776
596	7490
405	3091
405	5054
405	2034
405	1906
405	7018
405	7037
3091	5054
3091	6667
3091	2099
3091	1906
3091	2152
3091	595
3091	7018
3091	7037
3091	3398
3091	5243
3091	1012
3091	1026
3091	4907
3091	3484
3091	8288
3091	7076
3091	2908
3091	3162
3091	7015
3091	768
3558	6667
3558	367
3558	1958
3558	2113
3558	2114
3558	4790
3558	5451
3558	5452
3558	5914
3558	5915
3558	5916
3558	5966
64321	51176
64321	6934
64321	83439
64321	6932
51176	83439
51176	6667
51176	3728
51176	8607
51176	595
51176	8061
51176	4316
51176	8996
51176	4907
51176	7368
51176	1991
51176	332
51176	7431
6934	3728
6934	8607
6934	595
6934	8061
6934	4316
6934	332
83439	3728
83439	8607
83439	595
83439	8061
83439	4316
83439	332
268	6667
268	367
268	5914
268	5915
268	5916
268	7490
5054	6667
5054	367
5054	1958
5054	2034
5054	2099
5054	2100
5054	2113
5054	4782
5054	7020
5054	7391
5054	7392
5054	5327
7297	6776
7297	30837
7297	9306
7297	9655
7297	5771
6667	1277
6667	367
6667	1958
6667	2099
6667	2100
6667	2113
6667	2114
6667	2313
6667	3204
6667	3728
6667	4602
6667	5241
6667	5451
6667	5460
6667	5914
6667	5966
